Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
MEDP,"Medpace Holdings, Inc.",340.22,USD,-1.3426127301725372,312179,0.749827362373284,10365416915,USD,26.928069397834488,12.6344,USD,42.3353799357855,0,Commercial services,Buy
WMG,Warner Music Group Corp.,35.26,USD,-0.871520944616256,1946637,0.9570717759214346,18347918401,USD,36.17894520829058,0.9746,USD,9.35816876122083,1.98525,Commercial services,Buy
MCO,Moody's Corporation,500.28,USD,-2.216488800281465,1348237,1.3237370106593154,90050399780.00002,USD,44.41997780244173,11.2625,USD,28.933841627457046,0.679619,Commercial services,Buy
IQV,"IQVIA Holdings, Inc.",191.04,USD,-1.5308489253131277,1550413,1.1219622190495633,33642143984.000004,USD,25.483552543819865,7.4966,USD,2.674866119732097,0,Commercial services,Strong buy
CPAY,"Corpay, Inc.",363.84,USD,-1.3957017805360672,341634,0.6919868964985019,25363643899.999996,USD,26.022214434375872,13.9819,USD,5.909844944211722,0,Commercial services,Buy
TRU,TransUnion,91.69,USD,-2.932458183358031,1152194,0.618036923848679,17888720036,USD,63.25629527423249,1.4495,USD,,0.458065,Commercial services,Buy
BAH,Booz Allen Hamilton Holding Corporation,112.3,USD,-1.1617672944904132,4374838,2.098752479318127,14222301195.000002,USD,16.74419991650265,6.7068,USD,116.41121615953021,1.81656,Commercial services,Buy
ICLR,ICON plc,201.39,USD,-0.22294887039239847,1353267,1.2307482291362943,16626630330,USD,21.114932164650124,9.5378,USD,29.10552818235964,0,Commercial services,Strong buy
SPGI,S&P Global Inc.,533.4,USD,-0.3791345273891961,1335219,0.8588221786771097,164180521003,USD,43.19028340080972,12.35,USD,50.02065061587423,0.682415,Commercial services,Buy
GPN,Global Payments Inc.,103.18,USD,-2.273157795036931,2189429,0.9729214233935399,25549037571,USD,16.71174746116843,6.1741,USD,63.44407677035077,0.96918,Commercial services,Buy
OMC,Omnicom Group Inc.,82.3,USD,-1.5550239234449728,2198586,0.8206088877592039,16171182050.999998,USD,11.046683310515155,7.4502,USD,7.60431561159495,3.40219,Commercial services,Buy
PYPL,"PayPal Holdings, Inc.",74.95,USD,-3.4522736055648497,15171686,1.2906452129521053,74143717233,USD,18.748749249549732,3.9976,USD,3.9120376387408604,0,Commercial services,Buy
EFX,"Equifax, Inc.",238.03,USD,-1.3224442417709965,849913,0.5797454670518754,29521393110,USD,49.25404018457591,4.8327,USD,9.816620083168596,0.65538,Commercial services,Buy
IPG,"Interpublic Group of Companies, Inc. (The)",27.07,USD,-1.77793904208998,6038185,1.032942553269198,10087612916,USD,14.812585499316006,1.8275,USD,-35.886191411731694,4.87625,Commercial services,Buy
VZ,Verizon Communications Inc.,42.76,USD,0.635443633796178,25465139,1.551337019502786,180006940317,USD,10.315048005017609,4.1454,USD,50.380904012188935,6.27923,Communications,Buy
LBRDA,Liberty Broadband Corporation,80.38,USD,-0.2605782355131008,56982,0.7804972927364797,11636742116,USD,14.705720924275964,5.4659,USD,21.467143714304765,0,Communications,Buy
