Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
EWRC,"eWorld Companies, Inc.",0.0005,USD,-16.666666666666657,500001,0.5272026535532649,5510659.000000001,USD,,0,USD,,0,Commercial services,
NSYC,National Stock Yards Co.,430,USD,-1.1471528081105333,3,0.025210084033613446,18753160.000000004,USD,,-9.0584,USD,-222.89908555612845,4.65116,Commercial services,
OPGN,"OpGen, Inc.",1.23,USD,-1.6000000000000014,1697,1.4445011916921957,12383777,USD,,-12.9568,USD,80.13141652290588,0,Commercial services,
SITS,Southern ITS International Inc.,0.04825,USD,-3.3066132264529027,67692,1.1380746947682727,5597242,USD,19.3,0.0025,USD,,0,Commercial services,
ATTOF,Atento S.A.,0.0001,USD,0,334,0.013550575290891091,1545,USD,,,,,0,Commercial services,
YHC,LQR House Inc.,1.15,USD,8.490566037735835,98559,0.5936284279588816,26049111,USD,,-2.8993,USD,88.62609255103801,0,Commercial services,Strong buy
AGSS,Ameriguard Security Services Inc.,0.1903,USD,11.875367430922983,10819,1.4177510450655868,18062763,USD,,-0.0253,USD,-717.0731707317073,0,Commercial services,
CNHC,China Health Management Corp.,0.00495,USD,45.588235294117666,20250,0.7107507633989681,401672,USD,,0,USD,100,0,Commercial services,
PCMC,Public Company Management Corp.,0.197,USD,-14.347826086956522,2296,0.6011730205278593,6752533,USD,,-0.0026,USD,-116.66666666666667,0,Commercial services,
TTNN,TITAN NRG,0.080375,USD,6.000659413122319,1000,0.3917267314321529,5130015,USD,,,,,0,Commercial services,
CANN,TREES Corporation,0.0305,USD,-0.40816326530612285,40612,0.729027359169657,3316769,USD,,,,,0,Commercial services,
CGSI,CGS INTL INC.,0.0001,USD,0,1013,0.4496027695175536,3669,USD,,,,,0,Commercial services,
GXXM,"GEX Management, Inc.",0.0001,USD,-50,1123120,0.10481147396342613,240560.99999999997,USD,,-0.0009,USD,-101.20643431635388,0,Commercial services,
CIPI,Correlate Energy Corp.,0.0465,USD,-11.428571428571425,47500,9.775875198090104,3640061.0000000005,USD,,-0.7796,USD,-171.54301637060254,0,Commercial services,
RMTD,REMOTE DYNAMICS INC,0.000001,USD,0,1250000,1.5171035216827469,29332,USD,,,,,0,Commercial services,
NEOM,NEOMEDIA TECHNOLOGIES INC,0.000001,USD,0,1000000,2.662472030731317,5088.415,USD,,,,,0,Commercial services,
DATI,"Digital Asset Monetary Network, Inc.",0.03,USD,0,1125,0.025396237744904387,485242.00000000006,USD,,-0.1407,USD,-119.1588785046729,0,Commercial services,
GLAI,Global AI Inc.,0.3998,USD,0,750,0.07732676227691229,61693949.000000015,USD,,-0.0044,USD,-4300,0,Commercial services,
BLPG,"Blue Line Protection Group, Inc.",0.051,USD,-7.27272727272728,116155,13.949536436566346,420757,USD,,-0.0016,USD,76.47058823529413,0,Commercial services,
CAUD,"Collective Audience, Inc.",0.07085,USD,57.44444444444444,1052,0.758580905682146,1393290.9685499999,USD,,-0.4778,USD,52.693069306930695,0,Commercial services,
NUKK,Nukkleus Inc.,12.72,USD,-2.752293577981647,199734,1.171618458795028,60934283.99999999,USD,,,,,0,Commercial services,
WHLM,"Wilhelmina International, Inc.",3.681,USD,3.690140845070429,3384,1.2936768866121262,18984184,USD,32.89544235924933,0.1119,USD,18.789808917197444,0,Commercial services,
XCPL,XCPCNL Business Services Corporation,0.000001,USD,0,1200,0.00444476874794198,1685.21,USD,,,,,0,Commercial services,
JDZG,JIADE LIMITED,0.67,USD,0,35508,0.5788709180454548,16237766.24,USD,,,,,0,Commercial services,
CYGT,CYGNUS E-TRANSACTION GROUP INC,0.0002,USD,0,700,0.014181523500810372,8449.800000000001,USD,,,,,0,Commercial services,
CELU,Celularity Inc.,1.68,USD,-6.666666666666672,214384,1.386245657959739,39997017,USD,,-1.5634,USD,84.6430395662253,0,Commercial services,
VERI,"Veritone, Inc.",2.845,USD,-3.3955857385398867,770429,0.9745791656378142,126872020,USD,,-2.1627,USD,-1.1884152903195557,0,Commercial services,Buy
