Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
WEX,WEX Inc.,150.5,USD,-1.556776556776554,514129,0.5962614509431846,5841730780,USD,20.053832214049674,7.5048,USD,21.769888530122834,0,Commercial services,Neutral
CRTO,Criteo S.A.,41.85,USD,-4.582763337893293,377710,0.7291414504685338,2271510028,USD,21.94086190625983,1.9074,USD,116.01359003397509,0,Commercial services,Buy
CBZ,"CBIZ, Inc.",83.96,USD,-1.7781937295273866,514121,1.832000219503217,4213775123.0000005,USD,35.502558247706034,2.3649,USD,-2.0988574267262776,0,Commercial services,Strong buy
TNET,"TriNet Group, Inc.",66.51,USD,-4.645161290322573,547426,0.9640251155885883,3294077439,USD,19.557163020465776,3.4008,USD,-47.68885265570442,1.50353,Commercial services,Neutral
WNS,WNS (Holdings) Limited,55.47,USD,-3.8148083925784686,328204,0.715216380826943,2564523501,USD,19.36463606213999,2.8645,USD,-13.792584567232453,0,Commercial services,Buy
FCN,"FTI Consulting, Inc.",164.69,USD,1.0430087735443823,797670,3.37986310552332,5916069174,USD,21.07438545305642,7.8147,USD,1.3763848169576904,0,Commercial services,Buy
DJT,Trump Media & Technology Group Corp.,26.99,USD,-3.053160919540235,4585647,1.0281546143402558,5939563838,USD,,-3.9748,USD,-575.4120645709431,0,Commercial services,
CNXC,Concentrix Corporation,45.17,USD,-1.590413943355113,686413,0.9497277816818636,2906140334,USD,12.167658863777174,3.7123,USD,-35.668734620316776,2.81271,Commercial services,Buy
RELY,"Remitly Global, Inc.",23.86,USD,-7.4835207444746015,4682434,2.095034052780927,4786492116,USD,,-0.1927,USD,70.36296524146417,0,Commercial services,Buy
G,Genpact Limited,53.25,USD,-2.257709251101316,1745208,0.9216810747770285,9391237473,USD,18.70981342890271,2.8461,USD,-16.77583484414294,1.14554,Commercial services,Buy
BCO,Brinks Company (The),91.64,USD,-0.7043016578177544,366959,1.7411457354719078,3999413873,USD,34.641264081046344,2.6454,USD,-9.111523397237686,1.03394,Commercial services,Strong buy
ABM,ABM Industries Incorporated,52.64,USD,-0.7541478129713397,372476,1.5953666710069148,3274904798,USD,41.20225422667502,1.2776,USD,-66.28312044758789,1.78571,Commercial services,Neutral
QXO,"QXO, Inc.",12.51,USD,-4.357798165137617,1694742,0.9422986357108265,5121971593.000001,USD,,-0.0662,USD,97.11747801097275,0,Commercial services,
CRL,"Charles River Laboratories International, Inc.",163.02,USD,0.47457627118644696,1216586,0.936592151073452,8337104727,USD,635.5555555555555,0.2565,USD,-97.21431829535827,0,Commercial services,Neutral
NSP,"Insperity, Inc.",84.85,USD,-2.054715456539306,305793,0.4975288941068973,3158980293.0000005,USD,35.50803481754268,2.3896,USD,-46.4323342823197,2.79316,Commercial services,Neutral
LB,LandBridge Company LLC,65.21,USD,-9.930939226519353,588520,1.1812883855497913,5150417691.999999,USD,,,,,0.153351,Commercial services,Buy
MAN,ManpowerGroup,53.77,USD,-2.1474067333939937,722270,1.2334780847454965,2510639805,USD,17.92751642049812,2.9993,USD,80.31141036431406,5.7281,Commercial services,Neutral
LAUR,"Laureate Education, Inc.",19.6,USD,-6.533142584644719,1308444,1.7905869257337856,2955383139,USD,10.096327203420389,1.9413,USD,185.02422551754515,0,Commercial services,Buy
GEO,Geo Group Inc (The) REIT,25.34,USD,-5.235602094240833,5485459,2.510757593067392,3543228856,USD,100.31670625494854,0.2526,USD,-69.42998910807215,0,Commercial services,Buy
UPWK,Upwork Inc.,15.63,USD,-6.742243436754181,2612876,0.7483394124595232,2117233720.0000002,USD,10.19835573535169,1.5326,USD,2646.594982078853,0,Commercial services,Buy
CLVT,Clarivate Plc,4.84,USD,0,8817103,1.0418753982391318,3347529799.9999995,USD,,-0.9669,USD,34.70862313458033,0,Commercial services,Buy
FA,First Advantage Corporation,18.24,USD,-2.6680896478121667,758808,0.9832048408204517,3149181215,USD,549.3975903614457,0.0332,USD,-88.51608439986164,0,Commercial services,Buy
PAYO,Payoneer Global Inc.,9.85,USD,-5.5608820709491855,2309267,0.9750820806800008,3512642760.0000005,USD,28.501157407407405,0.3456,USD,142.01680672268907,0,Commercial services,Strong buy
FOUR,"Shift4 Payments, Inc.",94.99,USD,-3.9437759126302008,3892015,1.4762215458635082,8474435189.999999,USD,30.940360248851828,3.0701,USD,115.03817328570429,0,Commercial services,Buy
RHI,Robert Half Inc.,60,USD,-0.04997501249375502,1600456,1.3850315212590225,6131968231,USD,24.57807635589055,2.4412,USD,-36.958991839685986,3.53333,Commercial services,Neutral
PAGS,PagSeguro Digital Ltd.,8.05,USD,-1.3480392156862675,8647841,2.5177970442999804,2653347955.0000005,USD,,,,,0,Commercial services,Buy
KFY,Korn Ferry,64.4,USD,-2.1722618866777954,422389,1.5053306271839713,3321946028,USD,13.756862410014312,4.6813,USD,136.91988460954502,2.23602,Commercial services,Buy
HURN,Huron Consulting Group Inc.,123.74,USD,-3.988206083178151,187490,1.772571235165151,2195260349,USD,26.91462751495378,4.5975,USD,17.836272298544184,0,Commercial services,Strong buy
LOPE,"Grand Canyon Education, Inc.",181.7,USD,-2.9743151599295246,229062,1.1136852371629036,5219304410,USD,23.481216319251494,7.7381,USD,13.671886476481474,0,Commercial services,Strong buy
PAY,"Paymentus Holdings, Inc.",27.43,USD,-5.932784636488342,514233,1.857584233438055,3419115710,USD,86.28499528153507,0.3179,USD,185.8812949640288,0,Commercial services,Neutral
TAL,TAL Education Group,14.45,USD,0.6968641114982554,5710924,0.6042084679626495,8750400318,USD,74.44616177228232,0.1941,USD,,0,Commercial services,Strong buy
ADT,ADT Inc.,7.35,USD,-1.6064257028112465,7182676,1.1847138073728447,6264176039,USD,8.002177463255308,0.9185,USD,2717.4846625766877,2.9932,Commercial services,Buy
BFAM,Bright Horizons Family Solutions Inc.,126.39,USD,-2.2959183673469488,525477,0.9610191381941998,7353778093,USD,52.60989010989011,2.4024,USD,88.08424019415955,0,Commercial services,Buy
