Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
NXTP,"NextPlay Technologies, Inc.",0.0001,USD,0,303,0.13077255071212776,597,USD,,,,,0,Commercial services,
COWI,"CarbonMeta Technologies, Inc.",0.000001,USD,0,2900000,3.321626699097961,21244,USD,,,,,0,Commercial services,
DGLY,"Digital Ally, Inc.",0.0825,USD,-2.9411764705882377,64308266,1.1051704558981301,1439645.0000000002,USD,,-6.6934,USD,39.17302798982188,0,Commercial services,
HHS,"Harte Hanks, Inc.",5.05,USD,-2.697495183044327,7244,0.6953016269136632,36809365,USD,,-4.1137,USD,-235.14570123854264,0,Commercial services,
OODH,Orion Diversified Holding Co Inc.,0.2668,USD,0,420,0.1800411522633746,1299407.9999999998,USD,76.22857142857143,0.0035,USD,-35.18518518518518,0,Commercial services,
SYRA,Syra Health Corp.,0.405,USD,-0.56469432850478,248093,0.07788734917416047,4916882,USD,,-0.6458,USD,,0,Commercial services,
TC,TuanChe Limited,0.838,USD,3.892883709397469,334257,3.919294131441637,1471602,USD,,,,,0,Commercial services,
LFLY,"Leafly Holdings, Inc.",0.2205,USD,-6.170212765957441,4338,0.2991002171889544,677862,USD,,-2.3068,USD,70.99678133172401,0,Commercial services,Strong buy
ADHC,American Diversified Holdings Corp.,0.0016,USD,14.285714285714294,8494600,0.6622139574583077,1417789,USD,,-0.0003,USD,70,0,Commercial services,
QPRC,Quest Patent Research Corporation,0.129,USD,7.500000000000007,568,0.07559222784136276,687824,USD,0.18336886993603413,0.7035,USD,,0,Commercial services,
STJO,"St. Joseph, Inc.",0.04,USD,2.5641025641025665,17300,1.2574593506276395,533400,USD,,-0.0209,USD,-849.9999999999998,0,Commercial services,
XCPL,XCPCNL Business Services Corporation,0.000001,USD,0,1200,0.00444476874794198,1685.21,USD,,,,,0,Commercial services,
PHBI,Pharmagreen Biotech Inc.,0.0015,USD,-6.250000000000003,3514617,2.6267635613318596,995469.0000000002,USD,,-0.0003,USD,78.57142857142858,0,Commercial services,
CBDG,"THC Farmaceuticals, Inc",0.0125,USD,-56.896551724137936,1702,0.11686189423380618,226645,USD,,,,,0,Commercial services,
CYGT,CYGNUS E-TRANSACTION GROUP INC,0.0002,USD,0,700,0.014181523500810372,8449.800000000001,USD,,,,,0,Commercial services,
AFFU,Affluence Corp.,0.0003,USD,0,14057600,0.14388737557135356,186550,USD,,-0.0019,USD,-290,0,Commercial services,
SEAV,SEATECH VENTURES CORP.,0.0323,USD,-11.748633879781416,128,0.0661669682088395,3693569.6,USD,,-0.0032,USD,-220.00000000000003,0,Commercial services,
PET,Wag! Group Co.,0.2962,USD,-1.4637391882900732,319253,0.25057716581796957,14748131.000000002,USD,,-0.3798,USD,-103.10160427807489,0,Commercial services,Neutral
