Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
EVH,"Evolent Health, Inc",10.43,USD,-2.614379084967331,5302596,2.5526682590727723,1215761552,USD,,-0.8147,USD,36.14202853111773,0,Commercial services,Strong buy
GOTU,Gaotu Techedu Inc.,2.67,USD,3.891050583657591,3185155,1.1165584358790643,679069961,USD,,-0.5547,USD,-658.6102719033231,0,Commercial services,Buy
QNST,"QuinStreet, Inc.",20.11,USD,-4.465558194774353,475753,0.636502119475143,1135583605,USD,,-0.219,USD,84.8453394228773,0,Commercial services,Strong buy
EUBG,ENTREPRENEUR UNIVERSE BRIGHT GROUP,0.359,USD,-0.1946066166249747,1200,0.12284634992782778,610724117,USD,326.3636363636363,0.0011,USD,-99.9999959992726,0,Commercial services,
CNDT,Conduent Incorporated,3.75,USD,-3.3505154639175228,956145,0.7294452372694872,606863022,USD,1.7418365925031354,2.1529,USD,,0,Commercial services,Strong buy
ORKA,"Oruka Therapeutics, Inc.",11.02,USD,-2.3049645390070905,94184,0.2803378078919272,385684042,USD,,-6.6853,USD,-48.006376054373575,0,Commercial services,Strong buy
CCO,"Clear Channel Outdoor Holdings, Inc.",1.35,USD,-3.5714285714285587,1337921,1.2701071832504551,660255892,USD,,-0.2598,USD,47.087576374745424,0,Commercial services,Neutral
BBSI,"Barrett Business Services, Inc.",40.14,USD,-1.665850073493385,159317,1.4053331686749113,1041113088.9999999,USD,21.168653095665015,1.8962,USD,9.778266658947492,0.772297,Commercial services,Buy
HUYA,HUYA Inc.,3.94,USD,2.072538860103629,1299419,1.0712423451274067,889817505,USD,,-0.0845,USD,67.13341112407622,0,Commercial services,Buy
PSFE,Paysafe Limited,19.23,USD,-1.9877675840978621,333949,0.5228675995694295,1168664226,USD,,-0.3844,USD,44.11978485244948,0,Commercial services,Neutral
MQ,"Marqeta, Inc.",3.69,USD,-5.86734693877551,5182495,1.105854807493164,1853835383.0000002,USD,155.69620253164558,0.0237,USD,,0,Commercial services,Buy
ICFI,"ICF International, Inc.",100.11,USD,-0.3880597014925379,429203,1.138831686788451,1878334967.0000002,USD,17.585679905844326,5.6927,USD,55.71268360731969,0.559385,Commercial services,Strong buy
